Data sorteio: 11/03/1996; Acumulou: sim; Número do Concurso: 1; Dezenas Sorteadas: 41, 05, 04, 52, 30, 33
Data sorteio: 18/03/1996; Acumulou: não; Número do Concurso: 2; Dezenas Sorteadas: 09, 39, 37, 49, 43, 41
Data sorteio: 25/03/1996; Acumulou: não; Número do Concurso: 3; Dezenas Sorteadas: 36, 30, 10, 11, 29, 47
Data sorteio: 01/04/1996; Acumulou: sim; Número do Concurso: 4; Dezenas Sorteadas: 06, 59, 42, 27, 01, 05
Data sorteio: 08/04/1996; Acumulou: sim; Número do Concurso: 5; Dezenas Sorteadas: 01, 19, 46, 06, 16, 02
Data sorteio: 15/04/1996; Acumulou: sim; Número do Concurso: 6; Dezenas Sorteadas: 19, 40, 07, 13, 22, 47
Data sorteio: 22/04/1996; Acumulou: sim; Número do Concurso: 7; Dezenas Sorteadas: 56, 38, 21, 20, 03, 05
Data sorteio: 29/04/1996; Acumulou: sim; Número do Concurso: 8; Dezenas Sorteadas: 53, 17, 38, 04, 47, 37
Data sorteio: 06/05/1996; Acumulou: sim; Número do Concurso: 9; Dezenas Sorteadas: 55, 43, 56, 54, 08, 60
Data sorteio: 13/05/1996; Acumulou: sim; Número do Concurso: 10; Dezenas Sorteadas: 25, 04, 18, 57, 21, 38
Data sorteio: 20/05/1996; Acumulou: não; Número do Concurso: 11; Dezenas Sorteadas: 25, 15, 58, 37, 59, 38
Data sorteio: 27/05/1996; Acumulou: sim; Número do Concurso: 12; Dezenas Sorteadas: 20, 27, 43, 16, 19, 04
Data sorteio: 03/06/1996; Acumulou: sim; Número do Concurso: 13; Dezenas Sorteadas: 47, 32, 50, 54, 18, 56
Data sorteio: 10/06/1996; Acumulou: sim; Número do Concurso: 14; Dezenas Sorteadas: 16, 02, 27, 47, 23, 53
Data sorteio: 17/06/1996; Acumulou: sim; Número do Concurso: 15; Dezenas Sorteadas: 60, 12, 33, 52, 35, 51
Data sorteio: 24/06/1996; Acumulou: sim; Número do Concurso: 16; Dezenas Sorteadas: 60, 58, 49, 32, 20, 34
Data sorteio: 01/07/1996; Acumulou: não; Número do Concurso: 17; Dezenas Sorteadas: 10, 20, 06, 19, 51, 13
Data sorteio: 08/07/1996; Acumulou: sim; Número do Concurso: 18; Dezenas Sorteadas: 37, 36, 56, 27, 42, 23
Data sorteio: 15/07/1996; Acumulou: sim; Número do Concurso: 19; Dezenas Sorteadas: 05, 25, 12, 10, 60, 24
Data sorteio: 22/07/1996; Acumulou: sim; Número do Concurso: 20; Dezenas Sorteadas: 25, 28, 30, 33, 51, 11
Data sorteio: 29/07/1996; Acumulou: sim; Número do Concurso: 21; Dezenas Sorteadas: 49, 46, 06, 53, 33, 36
Data sorteio: 05/08/1996; Acumulou: sim; Número do Concurso: 22; Dezenas Sorteadas: 09, 38, 56, 01, 31, 46
Data sorteio: 12/08/1996; Acumulou: sim; Número do Concurso: 23; Dezenas Sorteadas: 17, 52, 51, 59, 39, 37
Data sorteio: 19/08/1996; Acumulou: não; Número do Concurso: 24; Dezenas Sorteadas: 01, 08, 14, 28, 33, 43
Data sorteio: 25/08/1996; Acumulou: sim; Número do Concurso: 25; Dezenas Sorteadas: 56, 50, 55, 54, 24, 43
Data sorteio: 01/09/1996; Acumulou: sim; Número do Concurso: 26; Dezenas Sorteadas: 50, 53, 57, 10, 58, 22
Data sorteio: 08/09/1996; Acumulou: sim; Número do Concurso: 27; Dezenas Sorteadas: 44, 33, 13, 51, 17, 20
Data sorteio: 15/09/1996; Acumulou: sim; Número do Concurso: 28; Dezenas Sorteadas: 60, 06, 22, 03, 24, 54
Data sorteio: 22/09/1996; Acumulou: não; Número do Concurso: 29; Dezenas Sorteadas: 14, 56, 58, 08, 43, 03
Data sorteio: 29/09/1996; Acumulou: sim; Número do Concurso: 30; Dezenas Sorteadas: 38, 50, 07, 29, 15, 14
Data sorteio: 06/10/1996; Acumulou: sim; Número do Concurso: 31; Dezenas Sorteadas: 56, 19, 28, 48, 17, 45
Data sorteio: 13/10/1996; Acumulou: sim; Número do Concurso: 32; Dezenas Sorteadas: 43, 33, 14, 36, 05, 44
Data sorteio: 20/10/1996; Acumulou: não; Número do Concurso: 33; Dezenas Sorteadas: 05, 33, 49, 17, 42, 39
Data sorteio: 27/10/1996; Acumulou: sim; Número do Concurso: 34; Dezenas Sorteadas: 15, 13, 57, 53, 40, 17
Data sorteio: 03/11/1996; Acumulou: sim; Número do Concurso: 35; Dezenas Sorteadas: 21, 57, 16, 23, 54, 04
Data sorteio: 10/11/1996; Acumulou: sim; Número do Concurso: 36; Dezenas Sorteadas: 13, 03, 51, 17, 29, 25
Data sorteio: 17/11/1996; Acumulou: sim; Número do Concurso: 37; Dezenas Sorteadas: 22, 06, 07, 52, 38, 60
Data sorteio: 24/11/1996; Acumulou: sim; Número do Concurso: 38; Dezenas Sorteadas: 55, 42, 10, 43, 45, 54
Data sorteio: 01/12/1996; Acumulou: sim; Número do Concurso: 39; Dezenas Sorteadas: 16, 37, 45, 52, 56, 12
Data sorteio: 08/12/1996; Acumulou: sim; Número do Concurso: 40; Dezenas Sorteadas: 03, 12, 46, 05, 47, 08
Data sorteio: 15/12/1996; Acumulou: não; Número do Concurso: 41; Dezenas Sorteadas: 38, 26, 35, 39, 12, 47
Data sorteio: 22/12/1996; Acumulou: sim; Número do Concurso: 42; Dezenas Sorteadas: 24, 36, 19, 33, 07, 11
Data sorteio: 29/12/1996; Acumulou: sim; Número do Concurso: 43; Dezenas Sorteadas: 02, 58, 25, 06, 26, 17
Data sorteio: 05/01/1997; Acumulou: sim; Número do Concurso: 44; Dezenas Sorteadas: 47, 38, 18, 14, 29, 44
Data sorteio: 12/01/1997; Acumulou: sim; Número do Concurso: 45; Dezenas Sorteadas: 30, 07, 37, 55, 44, 53
Data sorteio: 19/01/1997; Acumulou: sim; Número do Concurso: 46; Dezenas Sorteadas: 32, 46, 01, 60, 24, 23
Data sorteio: 26/01/1997; Acumulou: sim; Número do Concurso: 47; Dezenas Sorteadas: 35, 17, 03, 48, 25, 56
Data sorteio: 02/02/1997; Acumulou: sim; Número do Concurso: 48; Dezenas Sorteadas: 47, 05, 34, 28, 02, 50
Data sorteio: 09/02/1997; Acumulou: não; Número do Concurso: 49; Dezenas Sorteadas: 33, 07, 43, 35, 13, 55
Data sorteio: 16/02/1997; Acumulou: sim; Número do Concurso: 50; Dezenas Sorteadas: 57, 44, 21, 16, 58, 06
Data sorteio: 23/02/1997; Acumulou: sim; Número do Concurso: 51; Dezenas Sorteadas: 23, 24, 42, 25, 17, 47
Data sorteio: 02/03/1997; Acumulou: sim; Número do Concurso: 52; Dezenas Sorteadas: 58, 15, 59, 30, 38, 46
Data sorteio: 09/03/1997; Acumulou: sim; Número do Concurso: 53; Dezenas Sorteadas: 42, 13, 03, 46, 38, 16
Data sorteio: 16/03/1997; Acumulou: não; Número do Concurso: 54; Dezenas Sorteadas: 05, 21, 09, 56, 18, 36
